model,origin,covariates_used,mae,rmse,smape,pinball,coverage
SeasonalNaive,2025-08-01 00:00:00+00:00,False,26.065069444444447,49.61419892231388,34.17761377059724,10.390415782284043,0.8194444444444444
SeasonalNaive,2025-08-02 00:00:00+00:00,False,17.367650462962967,26.23049643118903,27.524440583378784,6.545731840446116,0.8194444444444444
SeasonalNaive,2025-08-03 00:00:00+00:00,False,25.240405092592592,35.855604161119274,55.715749683183176,8.748116602767256,0.8194444444444444
SeasonalNaive,2025-08-04 00:00:00+00:00,False,12.908645833333335,19.685447981193956,35.178655278002935,5.4054573872294,0.9583333333333334
SeasonalNaive,2025-08-05 00:00:00+00:00,False,10.700243055555555,16.658250485858776,32.0005666109484,4.938954232568153,0.9583333333333334
SeasonalNaive,2025-08-06 00:00:00+00:00,False,4.9677546296296295,6.9799972446623375,17.772618744447104,3.8202725387577474,1.0
SeasonalNaive,2025-08-07 00:00:00+00:00,False,12.567835648148149,17.827919367112425,34.322123836957076,4.742118436802792,0.9305555555555556
SeasonalNaive,2025-08-08 00:00:00+00:00,False,8.651655092592595,12.873831825150916,24.922567965226794,3.461256944897561,0.9444444444444444
TimesFM,2025-08-01 00:00:00+00:00,False,22.3312747280686,28.30086814470709,40.29000999828369,6.015183179937764,0.6805555555555556
TimesFM,2025-08-02 00:00:00+00:00,False,10.078000468501338,15.71750843307448,16.85990107052642,3.5717648003425126,0.9722222222222222
TimesFM,2025-08-03 00:00:00+00:00,False,10.63295819953636,14.576044362929299,32.87522350178766,3.4888251760565203,0.6527777777777778
TimesFM,2025-08-04 00:00:00+00:00,False,7.743821468706484,10.465435538924378,23.12502919829961,2.5109064394162024,0.8194444444444444
TimesFM,2025-08-05 00:00:00+00:00,False,7.139305185388636,9.128241920944545,25.824379751927225,2.229981816344791,0.75
TimesFM,2025-08-06 00:00:00+00:00,False,5.405829957679466,8.103533663544153,18.951433223530444,1.839745398686256,0.875
TimesFM,2025-08-07 00:00:00+00:00,False,11.91683495009387,17.654451084454934,31.458439595212557,4.032866319197196,0.6805555555555556
TimesFM,2025-08-08 00:00:00+00:00,False,8.693570566530582,14.046319314024418,25.30758426853196,3.0647929714491338,0.7916666666666666
Chronos2,2025-08-01 00:00:00+00:00,False,23.093335879996967,30.67315355162141,38.214582591823806,7.192108135753206,0.5694444444444444
Chronos2,2025-08-02 00:00:00+00:00,False,19.131808604134456,25.606248568307823,33.44246782871457,6.029040678106708,0.8194444444444444
Chronos2,2025-08-03 00:00:00+00:00,False,15.486272025284945,19.282893078074586,44.204316151316746,5.079516525798374,0.4027777777777778
Chronos2,2025-08-04 00:00:00+00:00,False,9.068111168190285,11.722764517953156,29.410831643118545,2.882649268220972,0.875
Chronos2,2025-08-05 00:00:00+00:00,False,8.25743645032247,10.159778392288088,28.695374890983793,2.4645059122273953,0.7361111111111112
Chronos2,2025-08-06 00:00:00+00:00,False,6.614912900218257,9.537189650629417,24.266431720231562,2.0306493746792826,0.7361111111111112
Chronos2,2025-08-07 00:00:00+00:00,False,11.414554778205023,16.532225897597662,30.752050120214687,3.380641394956612,0.6944444444444444
Chronos2,2025-08-08 00:00:00+00:00,False,8.549348164664375,12.893845572706043,25.99497331502494,2.723987624144849,0.6805555555555556
Toto,2025-08-01 00:00:00+00:00,False,36.437205724716186,83.78118212656152,40.79228170647933,9.08439952838568,0.6388888888888888
Toto,2025-08-02 00:00:00+00:00,False,30.601305918163728,56.03970547084633,49.48614070498375,7.539261943558117,0.9166666666666666
Toto,2025-08-03 00:00:00+00:00,False,21.862701253979296,38.09670404685075,53.46250968550282,5.656952389802462,0.75
Toto,2025-08-04 00:00:00+00:00,False,33.768299113379584,138.5592990682262,42.9802695365717,7.4278049266191175,0.9722222222222222
Toto,2025-08-05 00:00:00+00:00,False,20.619695809505604,43.06486888156746,49.90588621986644,4.883695887253608,1.0
Toto,2025-08-06 00:00:00+00:00,False,8.95895865228441,16.37242282833972,29.583128034017797,2.4463302327526937,0.9305555555555556
Toto,2025-08-07 00:00:00+00:00,False,15.38142624625453,35.316652019040305,34.366454378050484,4.650171409418554,0.6805555555555556
Toto,2025-08-08 00:00:00+00:00,False,17.42694734961898,41.73266425791736,42.608588025929414,4.533261264961811,0.9166666666666666
